style,summary,characteristics,best_for,avoid_for,mood_tags,pairs_with,notes
minimal,Restrained layouts with generous whitespace and few visual elements,whitespace-heavy;limited palette;type-led;subtle dividers,saas;portfolio;professional-services;b2b,kids;discount-retail,calm;refined;focused,serif-display + clean-sans body;cool neutral palette,Safe default that ages well; relies on strong typography and spacing
editorial,Magazine-style layouts with strong typographic hierarchy,large headlines;column structure;pull quotes;asymmetry,publishers;blogs;agencies;personal-brand,transactional-checkout;dense-dashboards,sophisticated;expressive;literary,high-contrast serif headings + readable serif/sans body,Excellent for content-first sites where reading is the point
corporate-clean,Trustworthy structured business look,grid-aligned;card sections;muted palette;clear CTAs,enterprise;finance;legal;healthcare,playful-consumer;art-projects,credible;stable;safe,geometric sans pairings;navy/slate palettes,Default for risk-averse industries; avoid blandness with one accent
glassmorphism,Frosted translucent panels over colorful backgrounds,backdrop-blur;layered transparency;soft borders;vivid backdrop,tech-products;crypto;modern-apps;landing-pages,accessibility-critical;text-heavy,futuristic;sleek;premium,bold gradient palette + geometric sans,Watch contrast on translucent surfaces; test legibility carefully
neumorphism,Soft extruded UI that appears pressed from the background,dual-shadow;low-contrast;monochrome;tactile,concept-ui;niche-apps,conversion-pages;accessibility-critical,soft;tactile;quiet,monochrome palette + rounded sans,Low contrast is an a11y risk; use sparingly and test
brutalist,Raw unpolished web aesthetic that rejects convention,visible-borders;system-fonts;high-contrast;asymmetry;raw,creative-portfolios;art;music;fashion-edge,corporate;healthcare;finance,bold;rebellious;honest,monospace or grotesque sans;stark palette,Intentional roughness; great differentiation for creative brands
neo-brutalist,Polished take on brutalism with bold color blocks and hard shadows,thick-borders;hard-offset-shadows;saturated-blocks;chunky-type,startups;creative-saas;portfolios;events,luxury;conservative-finance,bold;energetic;confident,heavy grotesque sans;saturated palette,Trendy and high-impact; pair with restraint elsewhere
soft-ui,Gentle rounded friendly interface,rounded-corners;soft-shadows;pastel-tints;airy,wellness;consumer-apps;education;kids-adjacent,heavy-data-tools;legal,friendly;approachable;gentle,rounded humanist sans;pastel palette,Approachable without being childish; good for B2C onboarding
flat-2.0,Flat design with subtle depth cues,solid-fills;minimal-shadow;clear-icons;bright-accents,saas;mobile-apps;dashboards,luxury;editorial,clean;efficient;modern,geometric sans;bright accent palette,Reliable for product UIs; depth cues aid usability
material-inspired,Layered surfaces with elevation and motion cues,elevation-shadows;ripple-feedback;bold-color;grid,android-first;consumer-apps;dashboards,ultra-minimal-luxury,systematic;familiar;responsive,roboto-like sans;vivid primary,Familiar patterns reduce learning curve; avoid generic feel
luxury-serif,High-end refined aesthetic for premium brands,serif-display;tight-tracking;gold/charcoal;ample-space,luxury-retail;real-estate;hospitality;jewelry,budget-retail;kids,elegant;exclusive;timeless,high-contrast serif + light sans;charcoal+metallic palette,Whitespace and restraint signal premium; never crowd
dark-tech,Dark-mode-first technical aesthetic,dark-surfaces;neon-accents;mono-accents;code-feel,developer-tools;crypto;gaming;ai-products,wellness;kids;food,technical;sharp;nocturnal,mono + geometric sans;dark palette w/ neon accent,Ensure WCAG contrast on dark; avoid pure-black eye strain
organic-natural,Earthy human aesthetic with natural textures,earth-tones;hand-textures;curved-shapes;photography,eco;wellness;food;sustainability,fintech;enterprise-saas,warm;grounded;authentic,humanist serif/sans;earth palette,Use real photography; curved shapes soften the grid
maximal,Dense expressive layered design,layered-elements;rich-color;pattern;motion,fashion;music;events;creative-campaigns,saas-dashboards;healthcare,vibrant;bold;immersive,display + decorative pairings;rich palette,High effort; ensure hierarchy survives the density
swiss-grid,Strict grid international typographic style,rigid-grid;helvetica-lineage;flush-left;objective,agencies;design-studios;b2b;portfolios,playful-consumer,precise;objective;clean,grotesque sans;restrained palette,Discipline is the aesthetic; small details carry it
retro-revival,Nostalgic period-inspired visuals (70s/80s/90s),period-palette;grainy-texture;retro-type;badges,music;food-bev;events;dtc-brands,enterprise;legal,nostalgic;fun;characterful,display retro fonts + clean body,Pick one era and commit; balance nostalgia with usability
gradient-vibrant,Bold gradient-driven modern look,multi-stop-gradients;glow;vivid;motion,startups;ai-products;events;landing-pages,print-first;conservative,energetic;modern;optimistic,geometric sans;vivid gradient palette,Gradients date fast; keep type and layout timeless
claymorphism,Puffy 3D clay-like elements,inflated-shapes;soft-3d;pastel;rounded,kids;education;playful-apps;onboarding,finance;legal;luxury,playful;friendly;soft,rounded sans;bright pastel palette,Fun and tactile; keep CTAs clearly actionable amid the softness
